,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_year
397,Like You (feat. Ciara),Wanted,Bow Wow,2005,205840,66,0.714,0.0465,0.6,0.0,0.0646,-8.365,0.0876,82.017,4,2005
398,Ela Vai Voltar (Todos Os Defeitos De Uma Mulher Perfeita),Imunidade Musical,Charlie Brown Jr.,2005-01-01,188200,66,0.676,0.424,0.657,0.000147,0.13,-7.28,0.0272,105.002,4,2005
399,Lovers And Friends,Crunk Juice,Lil Jon & The East Side Boyz,2004-11-16,260600,66,0.675,0.0541,0.501,0.0,0.429,-6.183,0.22,139.861,4,2005
400,My Humps,Monkey Business,Black Eyed Peas,2005-01-01,326960,66,0.801,0.111,0.682,1.56e-05,0.109,-5.919,0.225,123.95,4,2005
401,Rich Girl,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,236213,66,0.856,0.0294,0.754,1.49e-05,0.206,-2.728,0.0416,98.018,4,2005
402,Ordinary People,Get Lifted,John Legend,2005-12-06,281466,65,0.469,0.928,0.132,0.0,0.0873,-14.001,0.0798,66.989,3,2005
403,Um Minuto Para O Fim Do Mundo,Felicidade Instantânea,CPM 22,2005-01-01,198000,65,0.408,0.0054,0.973,0.0,0.155,-2.802,0.049,126.722,4,2005
404,Dirty Little Secret,Move Along,The All-American Rejects,2005-01-01,193653,65,0.469,0.000343,0.955,1.35e-06,0.548,-4.253,0.0432,143.853,4,2005
405,Incomplete,Never Gone,Backstreet Boys,2005-06-14,239586,65,0.437,0.231,0.589,0.0,0.0768,-4.834,0.0331,133.631,4,2005
406,I Will Follow You into the Dark,Plans,Death Cab for Cutie,2005-08-29,189186,64,0.517,0.924,0.206,0.0,0.118,-12.233,0.0421,80.401,4,2005
407,Laffy Taffy,Down for Life,D4L,2005-11-08,224253,64,0.891,0.0351,0.439,0.0,0.0932,-7.994,0.428,77.499,4,2005
408,Galvanize,Push The Button,The Chemical Brothers,2005-01-01,393813,64,0.745,0.0141,0.714,0.0222,0.363,-3.681,0.0751,104.003,4,2005
409,A Milli,Tha Carter III (MTV Bonus Version),Lil Wayne,2008-01-01,221813,63,0.663,0.0391,0.688,0.00224,0.223,-8.659,0.283,151.589,4,2005
410,Signs,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg,2004-01-01,236480,63,0.934,0.0305,0.706,0.000121,0.136,-5.317,0.178,112.962,4,2005
411,Behind These Hazel Eyes,Breakaway,Kelly Clarkson,2004-01-17,198973,63,0.548,0.00165,0.889,0.00109,0.197,-4.682,0.0382,90.048,4,2005
412,Let Me Hold You (feat. Omarion),Wanted,Bow Wow,2005,248493,63,0.815,0.0915,0.662,0.000409,0.0898,-8.244,0.199,151.518,4,2005
413,Soldier (feat. T.I. & Lil' Wayne),Destiny Fulfilled,Destiny's Child,2004-11-16,325573,63,0.878,0.0444,0.417,0.0,0.0833,-6.799,0.361,77.49,4,2005
414,Sunshine (feat. Lea),U Gotta Feel Me,Lil' Flip,2004-03-30,225173,63,0.814,0.0248,0.387,0.0,0.131,-9.867,0.0946,93.961,4,2005
415,True,Take It All Away (U.S. Version),Ryan Cabrera,2004-06-08,204173,63,0.598,0.459,0.4,0.0,0.151,-10.054,0.0241,96.938,4,2005
416,One Wish,Raydiation,Ray J,2005-09-05,337640,63,0.525,0.278,0.652,0.0,0.339,-7.042,0.28,127.673,4,2005
417,Breakaway,Breakaway,Kelly Clarkson,2004-01-17,237000,63,0.446,0.0298,0.701,8.89e-06,0.0931,-4.179,0.0295,159.958,3,2005
418,Sorry,Confessions on a Dance Floor,Madonna,2005-11-11,281880,63,0.589,0.00121,0.877,0.013,0.169,-6.229,0.046,132.971,4,2005
419,Fergalicious,The Dutchess,Fergie,2006-09-13,292373,71,0.906,0.0569,0.583,0.0,0.126,-7.721,0.317,129.056,4,2006
420,Temperature,The Trinity,Sean Paul,2005-09-26,218573,79,0.951,0.106,0.6,0.0,0.0712,-4.675,0.0685,125.04,4,2006
421,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,2005-11-28,218093,83,0.778,0.284,0.824,0.0,0.405,-5.892,0.0707,100.024,4,2006
422,Promiscuous,Loose,Nelly Furtado,2006-01-01,242293,82,0.808,0.0569,0.97,6.13e-05,0.154,-6.098,0.0506,114.328,4,2006
423,Smack That,Konvicted,Akon,2006-01-01,212360,80,0.939,0.321,0.742,0.0,0.107,-5.171,0.0467,118.978,4,2006
424,How to Save a Life,How To Save A Life,The Fray,2005-09-13,262533,79,0.64,0.269,0.743,0.0,0.101,-4.08,0.0379,122.035,4,2006
425,Crazy,St. Elsewhere,Gnarls Barkley,2006-05-02,182066,71,0.835,0.0172,0.741,0.0577,0.0826,-1.609,0.0339,111.963,4,2006
426,Welcome to the Black Parade,The Black Parade,My Chemical Romance,2006-10-23,311106,77,0.217,0.000289,0.905,0.00011,0.222,-4.103,0.0752,96.95,4,2006
427,SexyBack (feat. Timbaland),FutureSex/LoveSounds,Justin Timberlake,2006-09-12,242733,77,0.967,0.0584,0.583,0.0,0.0519,-5.562,0.0789,117.0,4,2006
428,Dani California,Stadium Arcadium,Red Hot Chili Peppers,2006-05-09,282160,77,0.556,0.0193,0.913,8.59e-06,0.346,-2.36,0.0437,96.184,4,2006
429,Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae,2006-01-01,215360,77,0.739,0.167,0.511,1.34e-06,0.133,-7.844,0.0362,96.038,4,2006
430,Maneater,Loose,Nelly Furtado,2006-01-01,258893,79,0.796,0.0261,0.777,0.000358,0.121,-4.81,0.0397,132.722,4,2006
431,Supermassive Black Hole,Black Holes and Revelations,Muse,2006-06-19,212439,76,0.668,0.0492,0.921,0.00517,0.0877,-3.727,0.0439,120.0,4,2006
432,When You Were Young,Sam's Town,The Killers,2006-09-27,220426,76,0.467,0.000152,0.988,0.0484,0.28,-3.313,0.112,130.433,4,2006
433,Chasing Cars,Eyes Open,Snow Patrol,2006-01-01,267960,76,0.56,0.199,0.595,6.47e-05,0.132,-4.53,0.0274,104.011,4,2006
434,Unwritten,Unwritten,Natasha Bedingfield,2004-08-30,259333,76,0.706,0.00584,0.8,0.0,0.0822,-6.333,0.0399,100.011,4,2006
435,So Sick,In My Own Words,Ne-Yo,2006-01-01,207186,76,0.452,0.246,0.574,0.0,0.189,-8.336,0.31,92.791,4,2006
436,"Dance, Dance",From Under The Cork Tree,Fall Out Boy,2005-05-03,180266,75,0.622,0.00523,0.961,0.0,0.0854,-3.198,0.154,114.452,4,2006
437,Me & U,Cassie (U.S. Version),Cassie,2006-08-07,192213,74,0.803,0.352,0.454,0.0,0.0655,-4.802,0.0294,99.99,4,2006
438,Shake That,Curtain Call: The Hits (Deluxe Edition),Eminem,2005-12-06,274440,74,0.963,0.0507,0.643,4.94e-05,0.157,-5.785,0.117,107.005,4,2006
439,SOS,A Girl Like Me,Rihanna,2006-04-10,238920,74,0.677,0.004,0.671,5.07e-05,0.413,-4.905,0.0361,137.046,4,2006
440,I Write Sins Not Tragedies,A Fever You Can't Sweat Out,Panic! At The Disco,2005-09-27,186634,73,0.569,0.0807,0.83,0.0,0.114,-4.106,0.14,170.094,4,2006
441,Waiting On the World to Change,Continuum,John Mayer,2006-09-11,201173,73,0.578,0.157,0.756,0.000232,0.249,-5.82,0.115,176.739,4,2006
442,The Sweet Escape,The Sweet Escape,Gwen Stefani,2006-01-01,246466,72,0.756,0.191,0.77,0.0,0.178,-3.502,0.0343,119.961,4,2006
443,Rehab,Back To Black (Deluxe Edition),Amy Winehouse,2006,214946,72,0.407,0.0541,0.558,1.51e-06,0.34,-13.609,0.0552,71.815,4,2006
444,Touch The Sky,Late Registration,Kanye West,2005-08-30,236600,72,0.552,0.0114,0.846,0.0,0.309,-4.912,0.342,98.56,1,2006
445,Run It! (feat. Juelz Santana),Chris Brown (Expanded Edition),Chris Brown,2005,229866,72,0.846,0.0246,0.482,0.0,0.393,-6.721,0.129,100.969,4,2006
446,Upside Down,Upside Down,Jack Johnson,2006-02-24,209546,72,0.792,0.255,0.647,0.000223,0.132,-8.314,0.045,102.477,4,2006
447,Far Away,All the Right Reasons,Nickelback,2005-09-26,238173,72,0.518,0.000681,0.797,0.0,0.107,-5.153,0.0309,132.918,4,2006
448,My Love (feat. T.I.),FutureSex/LoveSounds Deluxe Edition,Justin Timberlake,2006-09-13,276160,72,0.771,0.277,0.68,1.18e-05,0.682,-5.881,0.224,119.952,4,2006
449,Unfaithful,A Girl Like Me,Rihanna,2006-04-10,226973,70,0.588,0.839,0.391,0.0,0.227,-8.607,0.0334,144.069,4,2006
450,Yo (Excuse Me Miss),Chris Brown (Expanded Edition),Chris Brown,2005,229040,70,0.536,0.119,0.612,0.0,0.209,-5.847,0.272,86.768,4,2006
451,Irreplaceable,B'Day Deluxe Edition,Beyoncé,2007-05-29,227853,70,0.447,0.0293,0.694,5.46e-06,0.167,-4.637,0.382,175.868,4,2006
452,What Hurts The Most,Me And My Gang,Rascal Flatts,2006-01-01,214106,70,0.537,0.0088,0.674,0.0,0.265,-5.134,0.0277,136.002,4,2006
453,Who Knew,I'm Not Dead,P!nk,2006-04-04,208493,70,0.688,0.00462,0.734,0.0,0.0756,-4.569,0.0274,140.004,4,2006
454,Ridin',The Sound of Revenge,Chamillionaire,2005-01-01,303053,70,0.787,0.189,0.799,0.0,0.3,-4.68,0.0993,143.052,4,2006
455,What Goes Around.../...Comes Around (Interlude),FutureSex/LoveSounds,Justin Timberlake,2006-09-12,448573,71,0.687,0.122,0.723,0.00102,0.573,-4.751,0.0709,76.0,4,2006
456,Too Little Too Late,The High Road,JoJo,2006-10-17,221720,70,0.421,0.00871,0.799,1.63e-05,0.0794,-5.183,0.0562,82.408,4,2006
457,Over My Head (Cable Car),How To Save A Life,The Fray,2005-09-13,236266,69,0.592,0.022,0.729,0.0,0.0653,-4.156,0.0448,116.03,4,2006
458,Because of You,Breakaway,Kelly Clarkson,2004-01-17,219493,69,0.583,0.254,0.584,0.0,0.123,-5.362,0.0314,140.039,4,2006
459,Sexy Love,In My Own Words,Ne-Yo,2006-01-01,220853,69,0.693,0.297,0.516,0.000127,0.0604,-6.446,0.0413,94.02,4,2006
460,Rock This Party - Everybody Dance Now,Rock This Party (Everybody Dance Now),Bob Sinclar,2006-08-22,245466,68,0.893,0.0714,0.823,0.0,0.0509,-3.708,0.122,128.009,4,2006
461,Last Request,These Streets,Paolo Nutini,2007-01-30,220413,68,0.605,0.241,0.704,0.0,0.137,-6.564,0.0476,80.925,4,2006
462,Pump It,Monkey Business,Black Eyed Peas,2005-01-01,213066,68,0.649,0.0093,0.931,0.0,0.751,-3.15,0.181,153.645,4,2006
463,Goodbye My Lover,Back to Bedlam,James Blunt,2005-08-08,258653,67,0.432,0.953,0.261,0.00342,0.0903,-12.591,0.0512,89.567,4,2006
464,Call Me When You're Sober,The Open Door,Evanescence,2006-01-01,214706,67,0.45,0.00193,0.883,0.0,0.293,-4.094,0.0524,93.41,4,2006
465,Love Generation - Radio Edit,Love Generation (Radio Edit),Bob Sinclar,2005-06-20,204798,68,0.723,0.192,0.872,0.000154,0.0814,-3.617,0.0586,128.038,4,2006
466,Big Girls Don't Cry (Personal),The Dutchess,Fergie,2006-09-13,268120,67,0.707,0.204,0.642,0.0,0.0925,-4.271,0.0337,113.083,4,2006
467,I'm N Luv (Wit a Stripper) (feat. Mike Jones),Rappa Ternt Sanga (Expanded Edition),T-Pain,2005-12-06,239413,66,0.739,0.00542,0.368,0.0,0.171,-10.233,0.0845,144.992,4,2006
468,Black Horse And The Cherry Tree,Eye To The Telescope,KT Tunstall,2005-01-01,172373,66,0.748,0.328,0.786,0.0,0.34,-7.788,0.0641,104.833,4,2006
469,My Humps,Monkey Business,Black Eyed Peas,2005-01-01,326960,66,0.801,0.111,0.682,1.56e-05,0.109,-5.919,0.225,123.95,4,2006
470,It's Goin' Down (feat. Nitti),New Joc City,Yung Joc,2006-06-06,241840,66,0.888,0.0986,0.577,0.0,0.131,-7.702,0.0612,84.003,4,2006
471,We're All In This Together,High School Musical,High School Musical Cast,2006-01-01,231426,65,0.76,0.0451,0.941,0.0,0.649,-6.356,0.0688,116.013,4,2006
472,London Bridge,The Dutchess,Fergie,2006-09-13,241306,65,0.77,0.214,0.609,0.0,0.166,-5.894,0.345,90.952,4,2006
473,Do It To It,Unappreciated,Cherish,2006-01-01,226293,65,0.826,0.00798,0.67,0.0,0.495,-5.559,0.169,74.007,4,2006
474,Buttons,PCD,The Pussycat Dolls,2005-01-01,225560,65,0.57,0.178,0.821,0.0,0.289,-4.38,0.267,210.857,4,2006
475,Dirty Little Secret,Move Along,The All-American Rejects,2005-01-01,193653,65,0.469,0.000343,0.955,1.35e-06,0.548,-4.253,0.0432,143.853,4,2006
476,My My My,Nympho,Armand Van Helden,2005-07-04,182266,64,0.652,0.00672,0.733,0.00867,0.0392,-8.207,0.246,127.533,4,2006
477,Chelsea Dagger,Costello Music,The Fratellis,2007-01-01,215173,64,0.512,0.0505,0.817,0.0,0.0775,-3.154,0.142,154.607,4,2006
478,One,The Breakthrough,Mary J. Blige,2005-01-01,260466,64,0.344,0.0841,0.874,0.0,0.129,-3.161,0.0777,185.888,4,2006
479,Ain't No Other Man,Back To Basics,Christina Aguilera,2006-08-14,228906,64,0.862,0.00376,0.742,0.00855,0.103,-4.722,0.222,127.91,4,2006
480,Mas Que Nada,Timeless,Sérgio Mendes,2006-01-01,262840,64,0.747,0.0297,0.928,1.75e-06,0.113,-6.107,0.0824,100.065,4,2006
481,Laffy Taffy,Down for Life,D4L,2005-11-08,224253,64,0.891,0.0351,0.439,0.0,0.0932,-7.994,0.428,77.499,4,2006
482,You Know I'm No Good,Back To Black,Amy Winehouse,2006-10-27,256946,64,0.705,0.0132,0.806,0.00428,0.0701,-3.607,0.0309,103.383,4,2006
483,Gimme That,Chris Brown (Expanded Edition),Chris Brown,2005,186826,64,0.678,0.00374,0.572,6.59e-05,0.118,-7.033,0.0466,87.165,4,2006
484,Smile,"Alright, Still (Bonus Track Version)",Lily Allen,2006-05-08,196893,63,0.632,0.00143,0.639,0.0,0.221,-5.938,0.0259,95.506,4,2006
485,"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,Hannah Montana,2006-01-01,174120,63,0.676,0.0512,0.861,0.0,0.0613,-3.645,0.0501,124.031,3,2006
486,Sorry,Confessions on a Dance Floor,Madonna,2005-11-11,281880,63,0.589,0.00121,0.877,0.013,0.169,-6.229,0.046,132.971,4,2006
487,U and Dat (feat. T. Pain & Kandi Girl),My Ghetto Report Card,E-40,2006-03-14,202720,62,0.858,0.0241,0.484,1.8e-06,0.123,-7.448,0.277,99.992,4,2006
488,When The Sun Goes Down,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2006-02-21,202133,62,0.348,0.0341,0.875,0.0,0.117,-4.758,0.199,169.152,4,2006
489,Rehab,Back To Black (Deluxe Edition),Amy Winehouse,2006,214946,72,0.407,0.0541,0.558,1.51e-06,0.34,-13.609,0.0552,71.815,4,2007
490,Stronger,Graduation,Kanye West,2007-09-11,311866,81,0.617,0.00564,0.717,0.0,0.408,-7.858,0.153,103.992,4,2007
491,Teenagers,The Black Parade,My Chemical Romance,2006-10-23,161920,81,0.463,0.0506,0.857,0.0,0.184,-3.063,0.0632,111.647,4,2007
492,Big Girls Don't Cry (Personal),The Dutchess,Fergie,2006-09-13,268120,67,0.707,0.204,0.642,0.0,0.0925,-4.271,0.0337,113.083,4,2007
493,Smack That,Konvicted,Akon,2006-01-01,212360,80,0.939,0.321,0.742,0.0,0.107,-5.171,0.0467,118.978,4,2007
494,Snow (Hey Oh),Stadium Arcadium,Red Hot Chili Peppers,2006-05-09,334666,79,0.427,0.116,0.9,1.75e-05,0.119,-3.674,0.0499,104.655,4,2007
495,What Goes Around.../...Comes Around (Interlude),FutureSex/LoveSounds,Justin Timberlake,2006-09-12,448573,71,0.687,0.122,0.723,0.00102,0.573,-4.751,0.0709,76.0,4,2007
496,The Sweet Escape,The Sweet Escape,Gwen Stefani,2006-01-01,246466,72,0.756,0.191,0.77,0.0,0.178,-3.502,0.0343,119.961,4,2007
497,Hey There Delilah,All That We Needed,Plain White T's,2005-01-01,232533,79,0.656,0.872,0.291,0.0,0.114,-10.572,0.0293,103.971,4,2007
498,The Way I Are,Shock Value,Timbaland,2007-01-01,179120,79,0.731,0.181,0.807,0.751,0.319,-6.492,0.1,114.759,4,2007
499,How to Save a Life,How To Save A Life,The Fray,2005-09-13,262533,79,0.64,0.269,0.743,0.0,0.101,-4.08,0.0379,122.035,4,2007
500,Gimme More,Blackout,Britney Spears,2007-10-25,251240,79,0.788,0.25,0.844,0.000678,0.0723,-3.131,0.0334,113.324,4,2007
501,Say It Right,Loose,Nelly Furtado,2006-01-01,223080,79,0.872,0.0476,0.872,0.00112,0.0543,-6.328,0.139,116.948,4,2007
502,What I've Done,Minutes to Midnight,Linkin Park,2007-05-14,205613,78,0.623,0.0141,0.93,1.64e-06,0.138,-5.285,0.0324,120.119,4,2007
503,Back To Black,Back To Black (Deluxe Edition),Amy Winehouse,2006,241293,78,0.403,0.134,0.422,2.05e-05,0.0861,-13.964,0.0373,122.728,4,2007
504,Thnks fr th Mmrs,Infinity On High,Fall Out Boy,2007-01-01,203506,78,0.459,0.00511,0.891,0.0,0.106,-5.057,0.0623,154.837,4,2007
505,Beautiful Girls,Beautiful Girls,Sean Kingston,2007-07-23,225373,78,0.762,0.15,0.661,0.0,0.256,-6.075,0.0687,130.009,4,2007
506,The Pretender,"Echoes, Silence, Patience & Grace",Foo Fighters,2007-09-25,269373,77,0.433,0.000917,0.959,0.0,0.028,-4.04,0.0431,172.984,4,2007
507,No One,As I Am (Expanded Edition),Alicia Keys,2007-11-09,253813,77,0.644,0.0209,0.549,8.85e-06,0.134,-5.415,0.0285,90.04,4,2007
508,Can't Tell Me Nothing,Graduation,Kanye West,2007-09-11,271600,77,0.596,0.0122,0.62,0.0,0.82,-6.133,0.039,80.029,4,2007
509,"Dear Maria, Count Me In","So Wrong, It's Right",All Time Low,2007-09-25,182826,76,0.459,0.00725,0.895,0.0,0.206,-3.126,0.0805,181.04,4,2007
510,Chasing Cars,Eyes Open,Snow Patrol,2006-01-01,267960,76,0.56,0.199,0.595,6.47e-05,0.132,-4.53,0.0274,104.011,4,2007
511,Misery Business,Riot!,Paramore,2007-06-11,211520,75,0.517,0.00272,0.906,9.26e-06,0.113,-3.677,0.0735,172.977,4,2007
512,Destination Calabria - Radio Edit,Destination Calabria,Alex Gaudino,2007-02-19,223111,75,0.627,0.0015,0.954,0.000814,0.292,-4.804,0.0425,128.016,4,2007
513,Girlfriend,The Best Damn Thing (Expanded Edition),Avril Lavigne,2007-04-17,216600,75,0.56,0.000722,0.959,0.000221,0.209,-2.433,0.102,163.983,4,2007
514,Paralyzer,Them Vs. You Vs. Me (Deluxe Edition),Finger Eleven,2007-01-01,208106,75,0.644,0.157,0.939,0.0,0.233,-3.486,0.0456,106.031,4,2007
515,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),Epiphany (Expanded Edition),T-Pain,2007-06-05,227960,75,0.693,0.0109,0.549,0.0,0.0677,-8.141,0.119,80.028,4,2007
516,Bleeding Love,Spirit,Leona Lewis,2007,262466,75,0.638,0.188,0.656,0.0,0.146,-5.886,0.0357,104.036,4,2007
517,Bleed It Out,Minutes to Midnight,Linkin Park,2007-05-14,166373,75,0.529,0.114,0.967,0.0,0.61,-3.647,0.0508,140.127,4,2007
518,Valerie (feat. Amy Winehouse) - Version Revisited,Version,Mark Ronson,2007-04-16,219413,74,0.699,0.00243,0.83,0.00024,0.0995,-4.898,0.0633,105.809,4,2007
519,Apologize - feat. One Republic,Shock Value,Timbaland,2007-01-01,184400,74,0.653,0.0292,0.604,0.0,0.097,-6.017,0.0278,118.016,4,2007
520,Crank That (Soulja Boy),souljaboytellem.com,Soulja Boy,2007-01-01,221933,74,0.736,0.515,0.74,0.0,0.0468,-2.18,0.0786,140.141,4,2007
521,Because Of You,Because Of You,Ne-Yo,2007-01-01,266840,74,0.81,0.528,0.538,0.0,0.0951,-5.784,0.0356,109.97,4,2007
522,I Wanna Love You,Konvicted,Akon,2006-01-01,247066,73,0.866,0.0373,0.454,1.49e-06,0.275,-9.383,0.0414,99.985,4,2007
523,Bartender (feat. Akon),Epiphany (Expanded Edition),T-Pain,2007-06-05,238800,73,0.832,0.0564,0.391,0.0,0.224,-8.504,0.0628,104.961,4,2007
524,My Love (feat. T.I.),FutureSex/LoveSounds Deluxe Edition,Justin Timberlake,2006-09-13,276160,72,0.771,0.277,0.68,1.18e-05,0.682,-5.881,0.224,119.952,4,2007
525,Glamorous,The Dutchess,Fergie,2006-09-13,246573,71,0.81,0.291,0.755,0.0,0.0857,-6.408,0.199,130.991,4,2007
526,Give It To Me,Shock Value,Timbaland,2007-01-01,234026,70,0.975,0.168,0.711,0.000552,0.0799,-3.904,0.0632,110.621,4,2007
527,Irreplaceable,B'Day Deluxe Edition,Beyoncé,2007-05-29,227853,70,0.447,0.0293,0.694,5.46e-06,0.167,-4.637,0.382,175.868,4,2007
528,Everything,Call Me Irresponsible,Michael Bublé,2007-04-30,212373,70,0.686,0.39,0.688,1.03e-06,0.0924,-4.981,0.0254,123.125,4,2007
529,Kiss Kiss (feat. T-Pain),Exclusive (Expanded Edition),Chris Brown,2007-11-06,250666,70,0.729,0.0506,0.658,0.0,0.0693,-3.386,0.225,140.043,3,2007
530,Fluorescent Adolescent,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,173493,69,0.646,0.00178,0.813,2.26e-05,0.144,-5.29,0.0288,112.115,4,2007
531,Shut Up And Drive,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,212280,69,0.735,0.00101,0.826,0.129,0.197,-4.902,0.0349,132.964,4,2007
532,Don't Matter,Konvicted,Akon,2006-01-01,293053,73,0.798,0.244,0.443,0.0,0.326,-6.062,0.0403,125.232,4,2007
533,"This Ain't A Scene, It's An Arms Race",Infinity On High,Fall Out Boy,2007-01-01,212040,69,0.435,0.000747,0.887,0.0,0.0327,-4.07,0.0636,199.935,4,2007
534,Fergalicious,The Dutchess,Fergie,2006-09-13,292373,71,0.906,0.0569,0.583,0.0,0.126,-7.721,0.317,129.056,4,2007
535,When You're Gone,The Best Damn Thing (Expanded Edition),Avril Lavigne,2007-04-17,240493,69,0.457,0.191,0.719,0.0,0.228,-3.921,0.0323,142.034,4,2007
536,Rockstar,All the Right Reasons (Special Edition),Nickelback,2005-09-26,252040,69,0.616,0.0459,0.91,0.0,0.343,-3.004,0.0386,144.072,4,2007
537,Hate That I Love You,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,218946,69,0.637,0.323,0.73,0.0,0.0981,-5.38,0.0874,93.867,4,2007
538,1973,All the Lost Souls,James Blunt,2007-09-17,280026,68,0.72,0.0652,0.668,0.00664,0.0789,-7.928,0.0269,123.007,4,2007
539,Summer Love,FutureSex/LoveSounds,Justin Timberlake,2006-09-12,252973,68,0.606,0.0756,0.591,0.0,0.328,-7.228,0.087,95.802,4,2007
540,Insegurança - Ao Vivo,15 Anos (Ao Vivo),Pixote,2007-10-01,180853,67,0.442,0.58,0.806,0.0,0.78,-5.79,0.125,149.427,4,2007
541,Bubbly,Coco,Colbie Caillat,2007-01-01,196280,67,0.697,0.603,0.474,0.0,0.11,-6.663,0.0351,127.904,4,2007
542,New Shoes,These Streets,Paolo Nutini,2007-01-30,203653,67,0.748,0.47,0.735,1.09e-05,0.0851,-8.692,0.0903,150.04,4,2007
543,Candyman,Back To Basics,Christina Aguilera,2006-08-14,194213,66,0.686,0.0125,0.789,0.0147,0.142,-4.713,0.23,172.976,4,2007
544,She's So Lovely,Scouting For Girls (Expanded Edition),Scouting For Girls,2007-09-17,223813,66,0.496,0.0622,0.857,0.0,0.0495,-3.313,0.0649,167.144,4,2007
545,Let Me Think About It,Singled Out,Ida Corr,2013-05-03,151983,66,0.762,0.00022,0.754,0.0665,0.146,-3.425,0.046,129.026,4,2007
546,Beautiful Liar,B'Day Deluxe Edition,Beyoncé,2007-05-29,199853,66,0.764,0.00554,0.751,0.000237,0.164,-3.74,0.0703,91.977,4,2007
547,Let It Go,Just Like You,Keyshia Cole,2007-01-01,238333,65,0.806,0.197,0.721,0.0,0.209,-5.167,0.215,94.967,4,2007
548,Like a Boy,The Evolution,Ciara,2006,237053,65,0.701,0.267,0.724,0.0,0.0867,-5.751,0.145,132.035,4,2007
549,Golden Skans,Myths Of The Near Future,Klaxons,2007,165120,65,0.463,0.000418,0.836,7.38e-06,0.25,-2.776,0.0381,141.955,4,2007
550,Keep Holding On,The Best Damn Thing (Expanded Edition),Avril Lavigne,2007-04-17,239906,64,0.162,0.0374,0.786,0.0,0.143,-2.353,0.038,161.192,3,2007
551,Ruby,"Yours Truly, Angry Mob (Deluxe)",Kaiser Chiefs,2007-02-26,202800,64,0.443,0.00604,0.934,6.66e-06,0.0779,-3.398,0.0501,93.43,4,2007
552,Smile,"Alright, Still (Bonus Track Version)",Lily Allen,2006-05-08,196893,63,0.632,0.00143,0.639,0.0,0.221,-5.938,0.0259,95.506,4,2007
553,Shortie Like Mine (feat. Chris Brown & Johntá Austin),The Price Of Fame,Bow Wow,2006-12-18,268066,63,0.758,0.0745,0.642,0.0,0.191,-8.128,0.221,142.078,4,2007
554,Lost Without U,The Evolution of Robin Thicke,Robin Thicke,2006-01-01,254146,62,0.664,0.226,0.351,2.38e-06,0.106,-12.136,0.118,113.204,5,2007
555,Get It Shawty,Street Love,Lloyd,2007-01-01,209533,62,0.822,0.123,0.905,0.0,0.0496,-4.032,0.241,128.014,4,2007
556,Party Like A Rock Star,Rockstar Mentality,Shop Boyz,2007-01-01,253400,62,0.619,0.00541,0.709,0.0,0.507,-4.633,0.0395,144.972,4,2007
557,The Great Escape,Boys Like Girls,Boys Like Girls,2007-08-31,206520,61,0.423,0.00166,0.94,0.0,0.178,-4.012,0.0635,149.934,4,2007
558,Tears Dry On Their Own,Back To Black,Amy Winehouse,2006-10-27,185186,61,0.643,0.491,0.871,0.0,0.29,-2.734,0.118,121.569,4,2007
559,Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,275986,82,0.583,0.00864,0.829,0.0,0.0426,-4.603,0.134,174.028,4,2008
560,Flashing Lights,Graduation,Kanye West,2007-09-11,237506,82,0.639,0.0381,0.628,0.0,0.386,-7.578,0.0399,90.482,4,2008
561,I Kissed A Girl,One Of The Boys,Katy Perry,2008-06-17,179640,70,0.699,0.00223,0.76,0.0,0.132,-3.173,0.0677,129.996,4,2008
562,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,2008-05-26,242373,82,0.486,0.0954,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4,2008
563,Sex on Fire,Only By The Night,Kings of Leon,2008-09-23,203346,81,0.542,0.00172,0.905,0.0104,0.136,-5.653,0.054,153.398,4,2008
564,Low (feat. T-Pain),Mail on Sunday,Flo Rida,2008-03-17,231400,80,0.918,0.0928,0.609,0.0,0.139,-5.64,0.0791,128.008,4,2008
565,I'm Yours,We Sing. We Dance. We Steal Things.,Jason Mraz,2008-05-12,242946,80,0.703,0.559,0.444,0.0,0.0973,-9.331,0.0417,150.96,4,2008
566,Lollipop,Tha Carter III,Lil Wayne,2008-06-10,299333,69,0.829,0.056,0.428,0.00413,0.137,-9.469,0.0831,148.075,4,2008
567,"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",The Offspring,2008-06-17,177826,79,0.55,0.00428,0.917,0.0,0.197,-3.159,0.0638,126.115,4,2008
